ID,Start time,Completion time,Email,Name,Last modified time,How effective do you think our current numeracy initiatives have been in improving student outcomes?,"Which numeracy initiative(s) have had the greatest impact in your opinion?
(Select all that apply)",What are the main barriers preventing students from improving their numeracy skills?,Are there specific groups of students who require additional numeracy support?,How confident do you feel in supporting numeracy within your subject area?,What additional training or resources would help you feel more confident in supporting numeracy?,Have you used the IXL platform in your teaching?,"Do you think cross-curricular numeracy (e.g., graphs, percentages, and measurements in various subjects) is being implemented effectively?",Please Explain,What initiatives or actions could help reduce numeracy anxiety among students?,Do you have any additional feedback or suggestions for improving numeracy in our school?,How effective do you think our current literacy initiatives have been in improving student outcomes?,"Which literacy initiative(s) have had the greatest impact in your opinion?
(Select all that apply)",What are the main barriers preventing students from improving their literacy skills?,Do you feel supported in incorporating literacy strategies into your subject area?,How confident do you feel in using EAL strategies for students with English as an additional language?,What additional training or resources would help you support students’ literacy development?,How effective do you think IXL has been for supporting literacy?,Which of these do you use in the classroom to promote Literacy ,What initiatives could help further improve literacy among students with EAL needs?,Do you have any additional suggestions or feedback for improving literacy in our school?,How effective do you think our current attendance initiatives have been in reducing absenteeism?,"Which current initiative(s) do you think have had the greatest impact on improving attendance?
(Select all that apply)",What barriers do you feel are preventing students from improving their attendance?,Are there specific days or times where you notice significant patterns of absenteeism or tardiness?,"If yes, what patterns have you observed in student attendance?
",How can we better support teachers in monitoring and improving student attendance?,Which of the following do you integrate into your lessons ,Is there any Ideas that you have in or out of the classroom that could help improve attendance 
1,12/16/24 13:05:08,12/16/24 13:19:27,anonymous,,,Somewhat ineffective,XL Programme;Graph Week (Cross-Curricular Graph Activities);Life Skills Curriculum for Senior Students;,"Attendance Graphs are not done.  
Students' attendance is low
No cross curricular initiatives
Behaviour is poor",Junior Cycle Students;LCA Students;Students in the lowest percentile range (<25%);,Very Confident,I am confident but would like help in improving maths resilience ,Occasionally,No (Please explain),I think it is left to the maths teachers ,"I am not sure, seeing numeracy in action ",No ,Neither effective nor ineffective,Paired Reading;Plurilingual Library/SORA App;,"Timetabling, EAL students, need to differentiate teaching methodologies ",Not supported at all,Somewhat confident,Training in AI ,I have not used it,Keywords in Diary;Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);EAL strategies to be used to whole class;,Use of integrating digital technologies and AI ,No ,Very ineffective,Breakfast Club;Attendance Certificates at Assemblies;Check and Connect Programme;Targeted JCSP Activities;,"parental support at home for leaving early, 
No consequences for arriving late
No consequences for leaving early ",Yes (Please specify in the next question),"Friday Afternoons, especially with LCA 
First class ",Follow up on absenteeism ,"Wellbeing in your classroom;Active teaching methodologies;•   Post class work online so students can catch up if absent;•   Universal Design for Learning;•   Learning Intentions, ;•   Effective Questioning and Wait Time;Success Criteria;Physical Movement in the classroom;",Make the class as interesting as possible and make the students want to be here 
2,12/16/24 13:07:49,12/16/24 13:31:39,anonymous,,,Somewhat effective,Graph Week (Cross-Curricular Graph Activities);Maths Week;,not enough consistency in the initiatives we have and lacking a whole school approach to the implementing of these initiatives ,Students in the lowest percentile range (<25%);,Somewhat Confident,"Similar to the graph week, when approaching a numeracy topic a video of how to do it, a list of people offering to help if unsure worked well for me. ",Occasionally,No (Please explain),"I don't think its done on a whole school level. Those that are doing, do it well but it is not across the board. ",smaller target groups to support students. ,No,Somewhat effective,Paired Reading;IXL Literacy Programme;Plurilingual Library/SORA App;Accelerated Reader;,"The level of literacy of the household, not been exposed to any reading outside of the classroom. ","Yes, fully supported",Extremely confident,More guidance around differentiation of work to suit the need of the students. Example of the type of work that a student who id under the 10th percentile can achieve. More information about their assessments and recommendations - I should have mentioned this for numeracy also.,Very Effective,EAL strategies to be used to whole class;Oral Literacy in your Classroom;Keywords in Diary;,Always beneficial to do a review of EAL strategies at start of year. Good also to hear from the EAL teachers and link with the teachers do see what work they are doing and how the subject teacher can support it. ,I do the keyword list on the ipad with all students - word/definition/image and this strategy works well with everyone and is have a positive impact on teaching and learning. They are doing it in a number of classes so it promotes the importance of it and also its there as a guide when answering questions and later revision. ,Neither effective nor ineffective,Breakfast Club;contact with parents ;,I think there is lack of understanding about the value of being in school and on time. Parental support ot allowing them to stay at home is also difficult to address ,Yes (Please specify in the next question),"1st class Monday and Thursday 
Friday afteroon 12.40 onwards ","I think consistently reminding teachers to take the roll accurately. 
To highlight students they are concerned about to the Yearhead
To volunteer as a check and connect mentor ","Wellbeing in your classroom;Active teaching methodologies;•   Post class work online so students can catch up if absent;Keywords;•   Universal Design for Learning;•   Learning Intentions, ;Success Criteria;Physical Movement in the classroom;•   Written and Oral Feedback;","I think individual targets for some students if working with school completion, BFL, or JCSP target group which may be different from the general policy and contact to parents from these individuals may be helpful "
3,12/16/24 14:20:44,12/16/24 14:28:22,anonymous,,,Neither effective nor ineffective,Maths Week;,No interest from students,Students in the lowest percentile range (<25%);,Very Confident,None,"No, and I don’t plan to use it",Yes,,Students gaining confidence in Maths ,No,Neither effective nor ineffective,DEAR (Drop Everything and Read);,No interest,Neutral,Neutral,None ,I have not used it,Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);,None,None,Very ineffective,Attendance Certificates at Assemblies;,They know they can get away with it. There are not real consistent deterants. Some year heads don't give out lates. ,No,,Management should be pulling up those year heads who aren't doing lates properly. ,Active teaching methodologies;•   Effective Questioning and Wait Time;Success Criteria;,"When a student is late to my class in the morning, I ask them to wait out and discuss that they are late and it is not acceptable and that they have lost valuable time. "
4,12/16/24 14:09:52,12/16/24 14:59:08,anonymous,,,Somewhat effective,Numeracy in Attendance (Fractions and Bar Charts in Diaries);XL Programme;,consistency ,Junior Cycle Students;LCA Students;Students in the lowest percentile range (<25%);,Somewhat Confident,n/a,Occasionally,Yes,,"achievable every day applicable numeracy. Bring the outside, in",n/a,Somewhat effective,Paired Reading;IXL Literacy Programme;Plurilingual Library/SORA App;,"accessibility, wide variety of abilities making it difficult","Yes, fully supported",Somewhat not confident,"Further support on how to teach in the mainstream for students in 1st year struggling with basic literacy. Reading, writing and spelling. Such a large disparity among 1st year population",Very Effective,Keywords in Diary;Oral Literacy in your Classroom;IXL to be encouraged in classroom activities and deputy classes;Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);,Word of the week. Specific EAL strategies,n/a,Somewhat ineffective,"Breakfast Club;Attendance Certificates at Assemblies;Whole-School Attendance Rewards (e.g., Tayto Park);",lack of consistency among year groups in terms of accountability,Yes (Please specify in the next question),mornings arriving late and late back after lunch,"consistency is key
students being held to account
parental involvement in understanding the issues ","Wellbeing in your classroom;Active teaching methodologies;•   Post class work online so students can catch up if absent;Keywords;•   Universal Design for Learning;•   Learning Intentions, ;•   Effective Questioning and Wait Time;•   Written and Oral Feedback;Reflections;Success Criteria;Physical Movement in the classroom;",we need a better system. coming from top down for it to be successful. students don't see the value in it and  seem not bothered by being late
5,12/16/24 14:29:05,12/16/24 15:02:02,anonymous,,,Neither effective nor ineffective,I am not familiar with these.;,Preconception that 'maths' and numbers are hard and not used daily.,LCA Students;,Very Confident,Intro to IXL platform,"No, but I plan to use it",No (Please explain),I do not know how cross-curricular numeracy is being implemented. I was concerned that my 5th Yr LCA group could not do basic tasks like finding the cost of a menu item e.g. cost one apple when given the cost of a bag of 6.,More practice with real-life practical tasks perhaps.,I'm afraid I don't know enough about the numeracy initiatives.,Neither effective nor ineffective,I am not familiar enough with the above.;,Lack of one-to-one resources.,Not very supported,Extremely confident,Intro. to literacy skills on IXL,Neutral,Oral Literacy in your Classroom;Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);EAL strategies to be used to whole class;,Encouraged to speak in class even when mistakes are unavoidable. ,11-hour slots to be dedicated to individual tuition of very weak students. ,Neither effective nor ineffective,My concern is with LCA students. ;,N/A,Yes (Please specify in the next question),LCA students' attendance is worse in the mornings. Also they are often late to class.,LCA Students in particular could be given weekly updates on attendance in terms of passing or failing each subject.  ,"Wellbeing in your classroom;Active teaching methodologies;•   Post class work online so students can catch up if absent;Keywords;•   Learning Intentions, ;•   Effective Questioning and Wait Time;•   Written and Oral Feedback;Physical Movement in the classroom;",N/A
6,12/16/24 15:18:35,12/16/24 15:29:46,anonymous,,,Somewhat effective,XL Programme;Life Skills Curriculum for Senior Students;Numeracy in Attendance (Fractions and Bar Charts in Diaries);Junior Achievement Initiatives;Maths Week;Graph Week (Cross-Curricular Graph Activities);,"Attendance, classroom disruption, ability to offer enough 1-1 attention ",Junior Cycle Students;Senior Cycle Students;LCA Students;Students in the lowest percentile range (<25%);,Somewhat Confident,I would love to know what is available ....,Occasionally,No (Please explain),I think it works well for like graph week etc but unsure how effective it is on other occasions. ,Small group sessions ,It would be great to know what other programmes are available to support numeracy,Somewhat effective,Accelerated Reader;Paired Reading;IXL Literacy Programme;Plurilingual Library/SORA App;,"Attendance, behavioural disruptions and difficulty in supporting more students one-to-one ",Somewhat supported,Somewhat confident,I would love to know what is available....,Somewhat Effective,Keywords in Diary;Oral Literacy in your Classroom;IXL to be encouraged in classroom activities and deputy classes;EAL strategies to be used to whole class;Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);,Small group work and ability to further divide EAL groups depending on levels of English ,.,Very ineffective,Breakfast Club;Check and Connect Programme;,Lack of parental support,Yes (Please specify in the next question),Mornings and Friday afternoons ,ensure they understand how important it is to fill in vsware properly ,"Wellbeing in your classroom;Active teaching methodologies;•   Post class work online so students can catch up if absent;Keywords;•   Universal Design for Learning;•   Learning Intentions, ;•   Effective Questioning and Wait Time;Reflections;•   Written and Oral Feedback;Success Criteria;Physical Movement in the classroom;",.
7,12/16/24 21:03:37,12/16/24 21:09:35,anonymous,,,Somewhat effective,XL Programme;Graph Week (Cross-Curricular Graph Activities);Numeracy in Attendance (Fractions and Bar Charts in Diaries);Life Skills Curriculum for Senior Students;,consistency ,Students in the lowest percentile range (<25%);,Very Confident,more time at staff meetings dedicated to T&L and agreeing school wide approach ,"Yes, regularly",Yes,,I think the JC numeracy classes are a great start,no,Somewhat effective,Accelerated Reader;Paired Reading;IXL Literacy Programme;Plurilingual Library/SORA App;,language need//AEN need,Somewhat supported,Somewhat confident,Not sure,Somewhat Effective,Oral Literacy in your Classroom;Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);IXL to be encouraged in classroom activities and deputy classes;EAL strategies to be used to whole class;,",",",",Somewhat ineffective,"Breakfast Club;Check and Connect Programme;Targeted JCSP Activities;Whole-School Attendance Rewards (e.g., Tayto Park);","lack of interest/support from home, number of free classes, some YHs do not follow up with punctuality and attendance ",Yes (Please specify in the next question),"tuesday/thursday mornings, friday afternoon ",teachers who  take VSware incorrectly need to be reminded again and again of the importance of accuracy and given support if needed. ,"Wellbeing in your classroom;Active teaching methodologies;•   Post class work online so students can catch up if absent;Keywords;•   Universal Design for Learning;•   Learning Intentions, ;•   Effective Questioning and Wait Time;•   Written and Oral Feedback;Reflections;Success Criteria;Physical Movement in the classroom;",.
8,12/17/24 9:10:18,12/17/24 9:21:18,anonymous,,,Somewhat ineffective,XL Programme;,Attendance and punctuality,Junior Cycle Students;Students in the lowest percentile range (<25%);LCA Students;Senior Cycle Students;,Somewhat Confident,Not sure,"No, but I plan to use it",No (Please explain),Not sure,IXL Numeracy Ninjas,?,Somewhat ineffective,Accelerated Reader;DEAR (Drop Everything and Read);Paired Reading;Poetry Aloud;Spelling Bee;IXL Literacy Programme;Plurilingual Library/SORA App;,Punctuality attendance AEN ,Not very supported,Somewhat not confident,?,Somewhat Effective,Keywords in Diary;Oral Literacy in your Classroom;,?,Lots of students not using IXL,Very ineffective,"Breakfast Club;Attendance Certificates at Assemblies;Check and Connect Programme;Targeted JCSP Activities;Whole-School Attendance Rewards (e.g., Tayto Park);Targetting parents ;",Not following up from the school.  More targetting for chronic absenteeism and contact with parents,Yes (Please specify in the next question),Mornings and after lunch.  ,Yes.  Tutors could phone or text parents,"Wellbeing in your classroom;Active teaching methodologies;Keywords;•   Learning Intentions, ;•   Effective Questioning and Wait Time;•   Written and Oral Feedback;Reflections;Success Criteria;Physical Movement in the classroom;",Letters from tutors at the end of each term showing how many classes/hours missed.  Check that parents have app and know how to use it.  Letters sent if not using app.
9,12/16/24 13:05:18,12/17/24 9:24:34,anonymous,,,Very effective,XL Programme;Maths Week;,fear of not understanding maths/ feeling stupid,Junior Cycle Students;,Somewhat Confident,whole staff training/ review of IXL for new staff members,Occasionally,Yes,,if teachers felt more confident working with numeracy and showed more enthusiasm for maths (in non-maths subjects), you're doing a great job- I feel progress is happening in this area,Very effective,Accelerated Reader;DEAR (Drop Everything and Read);Paired Reading;IXL Literacy Programme;Plurilingual Library/SORA App;Robin and The Library have had a huge impact on student engagement in reading ;,screens/ scrolling,"Yes, fully supported",Extremely confident,Whole staff EAL training,Somewhat Effective,Oral Literacy in your Classroom;Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);EAL strategies to be used to whole class;,Whole staff training,more management buy in for initiatives like DEAR and whole staff EAL training,Very effective,"Breakfast Club;Attendance Certificates at Assemblies;Whole-School Attendance Rewards (e.g., Tayto Park);",exhaustion/ late nights on screens/ lack of encouragement from home/ bad public transport,Yes (Please specify in the next question),first class- buses and trains are often running late and it can be very challenging to get here on time for students,review with staff ways to incentivise and celebrate good attendance ,"Wellbeing in your classroom;Active teaching methodologies;•   Post class work online so students can catch up if absent;Keywords;•   Universal Design for Learning;•   Learning Intentions, ;•   Effective Questioning and Wait Time;•   Written and Oral Feedback;Reflections;Success Criteria;Physical Movement in the classroom;",more enticing rewards- many students complain that we don't host enough school trips/ walks/ days out except in TY
10,12/17/24 9:27:10,12/17/24 9:34:35,anonymous,,,Very effective,Maths Week;Life Skills Curriculum for Senior Students;Junior Achievement Initiatives;,Lack of support from home,Students in the lowest percentile range (<25%);Senior Cycle Students;,Somewhat Confident,Not sure,"No, but I plan to use it",Yes,,Continue doing what we are implementing,As above,Very effective,Accelerated Reader;Paired Reading;DEAR (Drop Everything and Read);Poetry Aloud;,Lack of home support,"Yes, fully supported",Somewhat confident,Happy with present resources,I have not used it,Oral Literacy in your Classroom;Use of Tech in classroom to promote Digital Literacy (Linked with Digital Literacy Targets);EAL strategies to be used to whole class;,Continue as we are,As above,Somewhat effective,"Breakfast Club;Attendance Certificates at Assemblies;Check and Connect Programme;Targeted JCSP Activities;Whole-School Attendance Rewards (e.g., Tayto Park);",Lack of home support,No,,Continue as we are,"Wellbeing in your classroom;Active teaching methodologies;•   Post class work online so students can catch up if absent;Keywords;•   Learning Intentions, ;•   Effective Questioning and Wait Time;•   Written and Oral Feedback;Reflections;Success Criteria;Physical Movement in the classroom;",Happy with current ideas
